CountryName,CountryCode,Region,IndicatorName,IndicatorCode,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,South Asia,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,22.29526901,28.09996223,33.9016037,42.4,45.52068329,42.7,43.22201891,69.1,68.98294067,89.5,71.5,97.7,97.7,98.71562195,97.7
Afghanistan,AFG,South Asia,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,South Asia,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,32.00976322,,,,,,,,,,40.81916407,,,,,44.21905272,,,,49.78108487
Afghanistan,AFG,South Asia,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,9.44338989,8.94125843,9.80847359,9.94828987,10.62276554,9.90467453,10.25649548,9.81848717,8.56967163,8.56190681,7.89716816,8.80596447,9.52887821,10.10534763,10.96199989,11.77723598,9.39572716,
Afghanistan,AFG,South Asia,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,,,,,,,,,,,8.6,,,,,,,,,9.2
Afghanistan,AFG,South Asia,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,179.4265792,190.6838143,211.3820742,242.0313132,263.7336019,359.6931579,364.660679,438.0761424,543.3029674,591.1627983,641.871438,637.165464,613.8565052,578.4663529,509.2201005,519.8889126,493.7565814,507.1033919
Afghanistan,AFG,South Asia,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,3.479449987,3.462009907,2.604199886,3.454459906,3.695219994,3.255800009,4.228360176,4.058869839,,
Afghanistan,AFG,South Asia,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,0.3,0.39,0.39,0.39,0.39,0.42,0.42,0.42,0.42,0.42,0.43,0.44,0.53,0.53,0.5,0.5,0.5,0.39,,
Afghanistan,AFG,South Asia,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,,,,,,63,64,63,66,68,67,64,62,65,66,66,66,66
Afghanistan,AFG,South Asia,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,31,27,37,35,39,48,50,53,55,59,60,62,64,59,57,60,63,64,64,64,64
Afghanistan,AFG,South Asia,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,12.68626872,6.78459655,8.680570785,26.41866415,-6.811161089,2.178537524,11.80418581,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515
Afghanistan,AFG,South Asia,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.376,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,64.833
Afghanistan,AFG,South Asia,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0.1106157,0.84456353,2.426528361,4.677582611,9.534904581,17.22510581,28.49300324,36.97858479,35.00312672,45.81362616,49.22797697,52.08357627,55.15951463,57.27106807,61.05463771,65.92913406,59.12084823,59.3560197
Afghanistan,AFG,South Asia,"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,,14.7,15.1,14.9,15,15.2,15.2,15.1,15,15,14.4,14.4,14.2,13.8,14,14.1,14.4,14.8,15.1,14.2,15.9
Afghanistan,AFG,South Asia,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,,,,,,,,,,,,,,,,,,13.9,,,
Afghanistan,AFG,South Asia,Number of infant deaths,SH.DTH.IMRT,89438,89703,89479,88842,87916,86723,85285,83559,81572,79334,76979,74524,71996,69517,67069,64829,62701,60766,59005,57394,55797
Afghanistan,AFG,South Asia,"Population, total",SP.POP.TOTL,20170847,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757
Afghanistan,AFG,South Asia,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,South Asia,Real interest rate (%),FR.INR.RINR,,,,,,,,10.04689711,-3.58511111,12.55796015,17.54292893,11.36409374,-1.241506002,7.174387244,9.784495938,14.35168934,12.25254816,17.58393816,12.14117829,,
Afghanistan,AFG,South Asia,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,73.72262774,74.98909408,72.81145999,79.0639712,70.24972856,70.89084065,74.06181015,70.75575027,72,68.65482234,87.17660292,85.98654709,82.48756219,85.90998043,78.6364081,85.32354903,86.05011125,,,,
Afghanistan,AFG,South Asia,"School enrollment, secondary (% net)",SE.SEC.NENR,,,,,,,,,26.55995,,,,,,46.1909,46.0584,45.43273,46.6585,48.44288,50.1407,
Afghanistan,AFG,South Asia,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,,4.9,5,5,5,5,5,4.9,4.8,4.6,4.4,4.3,4.1,4,4,3.9,4,4,4.1,4.1,4.1
Afghanistan,AFG,South Asia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,,,,,,,,0.21,,,,,0.21,,,0.21,
Afghanistan,AFG,South Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.69,11.65,11.63,11.68,11.68,11.61,11.52,11.34,11.18,11.11,11.46,11.52,11.51,11.52,11.54,11.45,11.39,11.31,11.18,11.06,10.98
Afghanistan,AFG,South Asia,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Europe & Central Asia,Access to electricity (% of population),EG.ELC.ACCS.ZS,,100,100,100,100,100,100,100,100,100,100,100,100,99.9,100,99.95,99.98,99.89,99.89,100,100
Albania,ALB,Europe & Central Asia,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,,,,,,0.618799652,5.121968124,0.307614717,-0.869200756,2.652203032,0.684468472,0.088973031,3.134715413,2.290772403,3.938596062,
Albania,ALB,Europe & Central Asia,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,84.142346,,,,,,,,,,90.59934972,,,,,92.91780583,,,,93.94089314
Albania,ALB,Europe & Central Asia,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,7.2333703,7.13952398,6.90934134,7.06348991,6.77337217,6.33554173,6.00927687,6.31683397,5.139081,4.60224104,4.74581575,4.79532719,5.05526161,5.38559914,5.50349331,4.89632177,4.91601992,5.01059723,5.26271439,
Albania,ALB,Europe & Central Asia,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,,,,,,,,,,,4.5,,,,,,,,,9
Albania,ALB,Europe & Central Asia,GDP per capita (current US$),NY.GDP.PCAP.CD,1033.241693,1126.683318,1281.659393,1425.124849,1846.118813,2373.579844,2673.787283,2972.743265,3595.037163,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5355.847795
Albania,ALB,Europe & Central Asia,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.592930079,3.430170059,3.458699942,3.117799997,3.138240099,3.227519989,3.281549931,3.191459894,3.275929928,,,,,,3.539299965,,3.437969923,3.962090015,3.611720085,,
Albania,ALB,Europe & Central Asia,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.029999971,3.26,3.26,3.14,3.07,3.01,3.08,3.12,3.09,,3.01,2.99,2.88,2.88,2.89,,,,,,
Albania,ALB,Europe & Central Asia,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,96,96,96,96,97,99,98,98,98,99,98,99,99,99,99,98,99,98,99,99,99
Albania,ALB,Europe & Central Asia,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,85,95,95,96,93,96,97,95,97,98,97,99,99,98,99,98,97,96,96,94,95
Albania,ALB,Europe & Central Asia,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.389437654,0.050018136,3.10758827,7.770525834,0.484002612,2.280019169,2.366581957,2.370728319,2.932682482,3.363137574,2.231396835,-4.298474686,3.429123247,2.031592684,1.937620802,1.625865044,3.501208355,-0.36731721,2.060598459,2.028059631,1.41109079
Albania,ALB,Europe & Central Asia,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.587,73.955,74.288,74.579,74.828,75.039,75.228,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,78.573
Albania,ALB,Europe & Central Asia,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.35251579,0.952019386,12.54591489,27.22166012,35.27876478,40.56791669,49.57363751,62.35298419,76.54705112,61.9324483,82.86919686,91.32805273,105.852915,120.1058579,126.9369686,115.9979353,117.6592183,116.7444442,125.7103519,94.17699827,91.29301538
Albania,ALB,Europe & Central Asia,"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,,14.3,14.5,14.5,14.7,14.7,14.9,14.9,14.8,14.5,14.4,14.1,14.3,13.8,13.9,13.6,13.8,13.8,11.4,11,11.7
Albania,ALB,Europe & Central Asia,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,,,,,,,,,,,,,,,,,,0.2,,,
Albania,ALB,Europe & Central Asia,Number of infant deaths,SH.DTH.IMRT,1396,1261,1136,1017,908,807,716,637,568,510,461,420,384,355,331,314,301,294,290,289,290
Albania,ALB,Europe & Central Asia,"Population, total",SP.POP.TOTL,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191
Albania,ALB,Europe & Central Asia,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,,,,8.4,,,9,,,7.2,,,,7.8,,14.4,11.1,12.9,12,,
Albania,ALB,Europe & Central Asia,Real interest rate (%),FR.INR.RINR,19.10955598,15.57944784,15.2582927,11.25004813,8.625453999,8.34124933,9.45903065,10.20609795,9.301400933,8.550420297,9.996118696,7.97107433,9.888417441,9.736426891,9.510391288,6.324597792,7.27252701,7.413495649,4.700672084,4.511766632,5.771012608
Albania,ALB,Europe & Central Asia,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,97.32915822,96.14901632,95.30831099,93.95398609,97.85657051,97.5026757,98.71394452,98.31643736,97.48251748,100,99.98077662,99.98678647,98.59222143,100,100,100,100,,,,
Albania,ALB,Europe & Central Asia,"School enrollment, secondary (% net)",SE.SEC.NENR,,66.69051,68.41048,,,,,,,,,,,,84.39599,86.39145,87.38842,86.48091,86.6726,86.60827,
Albania,ALB,Europe & Central Asia,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,,4.9,4.5,4.6,4.8,4.8,7.5,7.8,8.1,8.2,8.1,7.8,7.9,5.2,5.3,5,4.8,4.7,4.7,4.5,4.3
Albania,ALB,Europe & Central Asia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,6.57,,,,,7.65,,,,,7.69,,,,,6.74,,,7.17,
Albania,ALB,Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.62,16.58,16.54,16.61,16.61,16.52,16.4,16.17,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.06,17.19,15.42,13.62,12.3,11.47
Albania,ALB,Europe & Central Asia,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,1689.403809,,,,,,,,,,1689.403809,,,,,,,,,
Algeria,DZA,Middle East & North Africa,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,99.3,98.81757355,98.82183838,98.84799194,98.76466047,98.97725677,99.07403564,99.18688965,99.40287018,99.61513519,99.641922,99.5
Algeria,DZA,Middle East & North Africa,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.675644849,15.95584929,7.316618109,4.344012783,8.239267708,6.880321099,9.182859372,9.49062688,9.496254625,6.407272662,-1.925879129,15.63327828,1.991592508,7.671049926,0.514286837,0.73739472,-2.893314898,6.95320587,3.829470565,1.881348694,2.938149243
Algeria,DZA,Middle East & North Africa,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,68.28614204,,,,,,,,,,74.83151887,,,,,76.97012793,,,,79.35555043
Algeria,DZA,Middle East & North Africa,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,3.48903275,3.83787704,3.7300415,3.60104108,3.5440731,3.2351613,3.35510325,3.82141781,4.20188236,5.35939837,5.11716986,5.26748085,6.00050974,6.03576279,6.54721403,6.97849178,6.60778189,6.38032866,6.2184267,
Algeria,DZA,Middle East & North Africa,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,,,,,,,,,,,8.5,,,,,,,,,6.7
Algeria,DZA,Middle East & North Africa,GDP per capita (current US$),NY.GDP.PCAP.CD,1588.348908,1765.026718,1740.607066,1781.827726,2103.381692,2610.185422,3113.095706,3478.710412,3950.51426,4923.630278,3883.27129,4480.787439,5455.67903,5592.220115,5499.587331,5493.056663,4177.886892,3946.452425,4109.703442,4153.956234,3975.508993
Algeria,DZA,Middle East & North Africa,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,4.33701992,,,,,,,,,,,
Algeria,DZA,Middle East & North Africa,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,1.7,,,,,,,,,,,1.9,,,,
Algeria,DZA,Middle East & North Africa,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,,,81,83,80,90,91,94,95,95,95,95,95,95,91,91,91,91
Algeria,DZA,Middle East & North Africa,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,83,80,83,81,84,81,83,91,92,88,92,95,95,95,95,95,95,94,88,80,80
Algeria,DZA,Middle East & North Africa,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.645511134,0.339163189,4.225988349,1.418301923,4.268953958,3.961800303,1.382446567,2.311499185,3.678995747,4.858590628,5.737060361,3.911061955,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211
Algeria,DZA,Middle East & North Africa,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.183,70.64,71.116,71.605,72.101,72.594,73.072,73.521,73.936,74.311,74.644,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693,76.88
Algeria,DZA,Middle East & North Africa,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.235114278,0.277041908,0.317949718,1.41341221,4.484626702,14.93450892,41.2110671,62.41774249,80.67065762,77.83184216,92.63014159,91.11307345,97.14817842,100.384679,103.6101395,111.2386102,108.8089403,116.0042077,110.7672465,111.6647921,109.3560773
Algeria,DZA,Middle East & North Africa,"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,,22.5,22.7,22.8,22.7,22.5,22.1,22.2,22.3,22.4,22.5,22.3,22.3,21.4,21.1,21.2,21.2,21.1,21,21,20.9
Algeria,DZA,Middle East & North Africa,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,,,,,,,,,,,,,,,,,,1.9,,,
Algeria,DZA,Middle East & North Africa,Number of infant deaths,SH.DTH.IMRT,21393,20625,20046,19657,19428,19343,19390,19542,19756,19967,20165,20361,20596,20877,21189,21477,21655,21618,21343,20875,20237
Algeria,DZA,Middle East & North Africa,"Population, total",SP.POP.TOTL,30623406,31042238,31451513,31855110,32264159,32692153,33149720,33641007,34166976,34730604,35333882,35977451,36661438,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054
Algeria,DZA,Middle East & North Africa,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,,,,,,,,,,,,,6.3,,,,,,,,
Algeria,DZA,Middle East & North Africa,Real interest rate (%),FR.INR.RINR,-0.095922629,-10.33435625,10.02078811,7.168350302,-0.189997738,-3.78414342,-6.997075964,-2.303721707,1.508187156,-6.339849269,21.56902714,-6.992764741,-8.651061314,0.504061473,8.100862838,8.325606205,15.45333133,6.352656508,1.512545777,0.873405691,8.991897867
Algeria,DZA,Middle East & North Africa,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.819970109,0.212498032,0.25915493,0.206163194,0.896148253,0.8032,1.636444051,0.618861069,0.607592214,0.703350234,0.794784551,0.380460926,0.980009371,1.083680332,0.551010185,0.395379969,0.322683799,,,,
Algeria,DZA,Middle East & North Africa,"School enrollment, secondary (% net)",SE.SEC.NENR,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Middle East & North Africa,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,,4.5,4.5,4.4,4.1,4,3.9,3.7,3.5,3.4,3.2,3,3,2.9,2.9,2.8,2.7,2.6,2.5,2.5,2.5
Algeria,DZA,Middle East & North Africa,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,0.58,,,,,0.81,,,,,0.65,,,,,0.93,,,0.95,
Algeria,DZA,Middle East & North Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,28.37,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.21,11.21,10.2,12,11.89,11.81
Algeria,DZA,Middle East & North Africa,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,30195.79688,,,,,,,,,,30195.79688,,,,,,,,,
American Samoa,ASM,East Asia & Pacific,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,East Asia & Pacific,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,East Asia & Pacific,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,East Asia & Pacific,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,East Asia & Pacific,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,East Asia & Pacific,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,8666.655382,8807.462812,8528.248777,8395.31877,8340.52344,8874.877928,9740.824491,11910.01323,10216.81763,10223.29836,11496.5241,11450.7242,11525.15639,12059.63516,12038.2497,11003.82976,11557.67116,11534.56754
