CountryName,CountryCode,Region,IndicatorName,IndicatorCode,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa Eastern and Southern,AFE,0,Access to electricity (% of population),EG.ELC.ACCS.ZS,,20.08600661,23.10317848,24.22343015,25.02318413,26.17633577,23.62149844,27.29943305,28.73795234,28.8137354,27.48306125,28.23337289,28.38183599,32.22402744,32.0464781,31.3235788,33.31216313,38.38043319,39.75420135,42.16824107,43.64066111
Africa Eastern and Southern,AFE,0,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.088941302,3.946114517,3.161564182,7.75675112,5.156301256,4.770891678,6.889042789,8.928273085,3.22662493,-2.654100465,6.77618409,4.856877933,6.008647973,4.483248997,4.235746647,4.015351544,4.378311152,1.718724912,3.186595929,2.514743753,2.360079407
Africa Eastern and Southern,AFE,0,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,24.62039435,,,,,,,,,,31.8964045,,,,,36.85976506,,,,40.08249775
Africa Eastern and Southern,AFE,0,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,5.829365971,6.188641139,5.766620007,6.134532867,6.243614402,6.067345436,5.984721476,5.918841865,5.778916072,6.332752575,6.385427405,6.198894651,6.09293986,6.061229085,5.886680683,6.128403852,6.017338978,5.939238077,5.925881793,
Africa Eastern and Southern,AFE,0,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,,,,,,,,,,,3.351852242,,,,,,,,,6.648452482
Africa Eastern and Southern,AFE,0,GDP per capita (current US$),NY.GDP.PCAP.CD,635.1433677,672.2054736,591.0884442,589.2068235,757.4497587,916.6033667,1037.727057,1142.955902,1278.971341,1356.529948,1326.251549,1550.121225,1682.287263,1667.992618,1648.867514,1654.314865,1503.859334,1401.281053,1536.206783,1530.161917,1481.425292
Africa Eastern and Southern,AFE,0,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.786699772,3.983109951,4.673609972,,,3.74496007,4.019869804,3.883069992,,4.5259552,,4.519145012,,,4.610244989,4.602019787,4.681119919,4.219959974,4.762020111,4.834589958,
Africa Eastern and Southern,AFE,0,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,0.911870802,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,0,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,6.615743609,7.632546255,8.528053919,33.96128401,35.86121135,39.52724065,44.4018896,48.11755436,69.34876723,69.86272469,71.82638092,72.09614637,75.73184442,75.11011096,75.05258824,76.9740428,76.7553049,76.17006332,75.91086576,76.59920545,76.67682071
Africa Eastern and Southern,AFE,0,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,53.66045821,57.705111,58.05712926,60.08496813,61.71090403,63.54898006,63.6531113,66.73406855,70.92079346,70.8374789,74.49445012,77.15289923,77.37453461,77.67458017,76.37686119,75.87915192,74.83594195,72.33139044,72.33519371,72.08318685,73.25827219
